,Metabolite,Pvalues,Standardized_Difference_Control_minus_Heated,Actual_Difference_Control_minus_Heated,Control,Heated,ratio,significance.names(splitnn),Pvalues,stars
339,TG(48:3).O,0.263299288,6.77E-01,9.75E+05,3987121.62,3012101.48,1.323701,TG(48:3).O,0.263299288,NA
340,TG(49:1).O,0.989034786,8.48E-03,1.07E+03,475850.77,474777.01,1.0022616,TG(49:1).O,0.989034786,NA
341,TG(49:2).O,0.199691892,-8.46E-01,-1.47E+05,560040.6,707271.76,0.7918323,TG(49:2).O,0.199691892,NA
342,TG(50:1).O,0.783276177,-1.69E-01,-4.44E+04,870989.05,915364.15,0.9515219,TG(50:1).O,0.783276177,NA
343,TG(50:2).O,0.621085705,-3.04E-01,-2.17E+05,2629554.94,2846883.1,0.923661,TG(50:2).O,0.621085705,NA
344,TG(50:3).O,0.875654682,9.53E-02,8.57E+04,2194403.4,2108699.95,1.0406428,TG(50:3).O,0.875654682,NA
345,TG(50:4).O,0.760096852,1.91E-01,4.85E+04,516122.35,467658.53,1.1036308,TG(50:4).O,0.760096852,NA
346,TG(51:1).O,0.547935316,-3.71E-01,-3.08E+04,312246.99,343015.2,0.9103007,TG(51:1).O,0.547935316,NA
347,TG(51:2).O,0.796107071,1.60E-01,3.33E+04,1035130.57,1001842.55,1.0332268,TG(51:2).O,0.796107071,NA
348,TG(51:4).O,0.653555712,-2.77E-01,-4.99E+04,437776.52,487670.21,0.8976897,TG(51:4).O,0.653555712,NA
349,TG(52:1).O,0.791533226,-1.77E-01,-6.15E+04,739470.47,801003.25,0.9231804,TG(52:1).O,0.791533226,NA
350,TG(52:2).O,0.385989544,-5.85E-01,-9.79E+05,6499513.17,7478957.2,0.86904,TG(52:2).O,0.385989544,NA
351,TG(52:3).O,0.66688079,-2.69E-01,-4.67E+05,6465538.08,6932490.7,0.9326429,TG(52:3).O,0.66688079,NA
352,TG(52:4).O,0.708379117,2.39E-01,2.65E+05,5035799.58,4770548.55,1.0556018,TG(52:4).O,0.708379117,NA
353,TG(52:5).O,0.298981608,6.33E-01,1.57E+05,902160.99,745368.05,1.2103564,TG(52:5).O,0.298981608,NA
354,TG(53:1).O,0.20803627,-8.91E-01,-8.52E+04,141179.18,226393.03,0.6236021,TG(53:1).O,0.20803627,NA
355,TG(53:2).O,0.87641358,9.87E-02,1.12E+04,683221.24,672036.94,1.0166424,TG(53:2).O,0.87641358,NA
356,TG(53:3).O,0.708601597,2.36E-01,3.23E+04,1102531.21,1070198.36,1.030212,TG(53:3).O,0.708601597,NA
357,TG(53:4).O,0.053505661,-1.14E+00,-2.14E+05,828832.33,1042767.66,0.7948389,TG(53:4).O,0.053505661,NA
358,TG(53:5).O,0.030999979,-1.22E+00,-1.89E+05,416334.97,605734.14,0.6873229,TG(53:5).O,0.030999979,*
359,TG(53:6).O,0.351316891,-5.83E-01,-2.41E+05,476004.99,717238.71,0.6636633,TG(53:6).O,0.351316891,NA
360,TG(54:1).O,0.687913574,2.59E-01,7.43E+04,506814.66,432553.12,1.1716819,TG(54:1).O,0.687913574,NA
361,TG(54:2).O,0.973628674,-2.35E-02,-2.57E+04,3178070.67,3203764.17,0.9919802,TG(54:2).O,0.973628674,NA
362,TG(54:3).O,0.843766992,-1.40E-01,-4.50E+05,13800000,14250476.6,0.9683887,TG(54:3).O,0.843766992,NA
363,TG(54:4).O,0.883191046,-1.06E-01,-2.17E+05,10817589.83,11034709.3,0.980324,TG(54:4).O,0.883191046,NA
364,TG(54:5).O,0.496751764,-4.75E-01,-6.75E+05,8495128.58,9170539.2,0.92635,TG(54:5).O,0.496751764,NA
365,TG(54:6).O,0.974838018,-1.97E-02,-5.27E+04,7525484.25,7578160.7,0.9930489,TG(54:6).O,0.974838018,NA
366,TG(54:7).O,0.679784513,2.62E-01,3.85E+04,602811.7,564327.39,1.068195,TG(54:7).O,0.679784513,NA
367,TG(55:3).O,0.999984532,-1.21E-05,-7.31E-01,312453.34,312454.08,0.9999977,TG(55:3).O,0.999984532,NA
368,TG(56:1).O,0.671651973,2.87E-01,7.75E+03,111589.46,103834.96,1.0746809,TG(56:1).O,0.671651973,NA
369,TG(56:2).O,0.691587769,2.82E-01,2.93E+04,432519.26,403266.44,1.0725397,TG(56:2).O,0.691587769,NA
370,TG(56:3).O,0.840737551,-1.43E-01,-2.11E+04,427599.46,448690.36,0.9529945,TG(56:3).O,0.840737551,NA
371,TG(56:5).O,0.117708098,-1.05E+00,-5.40E+04,252179.76,306220.08,0.8235246,TG(56:5).O,0.117708098,NA
372,TG(56:6)_A.O,0.996324957,3.00E-03,3.14E+02,260781.68,260467.77,1.0012052,TG(56:6)_A.O,0.996324957,NA
373,TG(56:6)_B.O,0.56819922,-3.65E-01,-2.63E+04,363989.9,390246.79,0.9327172,TG(56:6)_B.O,0.56819922,NA
374,TG(56:7).O,0.497397136,4.43E-01,2.89E+04,368138.2,339275.03,1.0850731,TG(56:7).O,0.497397136,NA
375,TG(56:8).O,0.196934605,-9.26E-01,-4.41E+04,85782.11,129916.69,0.6602855,TG(56:8).O,0.196934605,NA
376,TG(58:1).O,0.507735382,-4.33E-01,-6.95E+03,50616.3,57566.99,0.8792591,TG(58:1).O,0.507735382,NA
377,TG(58:11).O,0.321273765,6.36E-01,3.57E+04,154862.71,119130.18,1.2999453,TG(58:11).O,0.321273765,NA
378,TG(58:2).O,0.454297458,4.90E-01,4.78E+04,304435.35,256668.2,1.1861047,TG(58:2).O,0.454297458,NA
379,TG(58:3).O,0.977441908,1.94E-02,6.82E+02,149137.39,148455.45,1.0045936,TG(58:3).O,0.977441908,NA
380,TG(58:9).O,0.030851118,-1.31E+00,-4.89E+04,153796.67,202679.12,0.7588185,TG(58:9).O,0.030851118,*
381,TG(59:2).O,0.659965649,2.80E-01,7.67E+03,85790.26,78124.83,1.0981176,TG(59:2).O,0.659965649,NA
382,TG(59:3).O,0.376127087,-6.35E-01,-8.62E+03,55577.42,64200.2,0.8656892,TG(59:3).O,0.376127087,NA
383,TG(60:2).O,0.671631928,-2.61E-01,-1.62E+04,145062.24,161271.32,0.8994918,TG(60:2).O,0.671631928,NA
384,TG(60:3).O,0.225950813,-8.28E-01,-3.05E+04,97605.84,128146.86,0.7616717,TG(60:3).O,0.225950813,NA
